Student_ID,Age,Gender,Study_Hours_Per_Day,Attendance_Percentage,Sleep_Hours,Internet_Usage_Hours,Previous_Grades,Final_Exam_Score,Course,Year_Level
S001,19,Male,3.5,92,7.5,4.0,78,82,Computer Science,1
S002,20,Female,5.0,96,7.0,3.0,88,91,Data Science,2
S003,21,Male,2.0,80,6.0,6.5,65,68,Information Systems,3
S004,18,Female,4.5,94,8.0,2.5,85,89,Software Engineering,1
S005,22,Male,6.0,98,7.0,2.0,92,95,Cybersecurity,4
S006,20,Female,3.0,88,6.5,5.0,74,76,Computer Science,2
S007,19,Male,2.5,84,6.0,7.0,70,71,Data Science,1
S008,23,Female,5.5,97,7.5,2.5,90,94,Software Engineering,4
S009,21,Male,4.0,91,7.0,4.5,82,85,Computer Science,3
S010,20,Female,6.5,99,8.0,2.0,95,98,Cybersecurity,2
S011,18,Male,1.5,75,5.5,8.0,58,61,Information Systems,1
S012,22,Female,4.0,90,7.0,3.5,81,84,Data Science,4
S013,19,Male,3.5,87,6.5,5.5,76,79,Software Engineering,2
S014,20,Female,5.0,95,8.0,2.5,89,92,Computer Science,2
S015,21,Male,2.5,82,6.0,6.0,68,70,Cybersecurity,3
S016,23,Female,6.0,98,7.5,2.0,93,96,Data Science,4
S017,19,Male,3.0,89,7.0,5.0,75,78,Computer Science,1
S018,20,Female,4.5,93,7.5,3.0,84,87,Software Engineering,2
S019,22,Male,5.5,96,7.0,2.5,91,93,Cybersecurity,4
S020,18,Female,2.0,79,6.0,7.5,62,65,Information Systems,1
S021,21,Male,4.5,92,7.5,3.5,86,89,Computer Science,3
S022,20,Female,5.0,95,8.0,2.0,90,94,Data Science,2
S023,19,Male,2.5,85,6.5,6.0,71,74,Software Engineering,1
S024,22,Female,6.5,99,7.0,2.5,96,99,Cybersecurity,4
S025,20,Male,3.5,88,7.0,4.5,77,80,Computer Science,2
S026,21,Female,4.0,91,7.5,3.5,83,86,Information Systems,3
S027,23,Male,5.5,97,8.0,2.0,92,95,Data Science,4
S028,18,Female,3.0,86,6.5,5.5,73,76,Software Engineering,1
S029,22,Male,6.0,98,7.0,2.5,94,97,Cybersecurity,4
S030,20,Female,2.0,81,6.0,7.0,66,69,Computer Science,2
S031,19,Male,4.5,93,7.5,3.0,85,88,Data Science,1
S032,21,Female,5.0,96,8.0,2.0,89,93,Software Engineering,3
S033,22,Male,3.0,87,6.5,5.0,75,78,Cybersecurity,4
S034,18,Female,2.5,83,6.0,6.5,69,72,Information Systems,1
S035,20,Male,5.5,97,7.5,2.5,91,94,Computer Science,2
S036,23,Female,6.0,99,8.0,2.0,95,98,Data Science,4
S037,21,Male,4.0,90,7.0,4.0,82,85,Software Engineering,3
S038,19,Female,3.5,89,7.0,4.5,79,82,Computer Science,1
S039,22,Male,5.0,95,7.5,2.5,88,91,Cybersecurity,4
S040,20,Female,2.0,80,6.0,7.0,64,67,Information Systems,2
S041,18,Male,3.0,86,6.5,5.5,72,75,Computer Science,1
S042,21,Female,6.5,98,8.0,2.0,94,97,Data Science,3
S043,22,Male,4.5,92,7.0,3.5,86,89,Software Engineering,4
S044,20,Female,5.5,96,7.5,2.5,90,93,Cybersecurity,2
S045,19,Male,2.5,84,6.0,6.0,70,73,Information Systems,1
S046,23,Female,6.0,99,8.0,2.0,97,99,Computer Science,4
S047,21,Male,4.0,91,7.5,4.0,83,86,Data Science,3
S048,20,Female,3.5,88,7.0,5.0,78,81,Software Engineering,2
S049,22,Male,5.5,97,7.5,2.5,92,95,Cybersecurity,4
S050,18,Female,2.0,78,5.5,8.0,60,63,Information Systems,1
